,primary_name
1101,Louis Malle
1102,Loveleen Tandan
1103,Luc Besson
1104,Luc Dardenne
1105,Lucia Aniello
1106,Lucía Puenzo
1107,Lucky McKee
1108,Luis Buñuel
1109,Luis Llosa
1110,Luis Mandoki
1111,Luis Prieto
1112,Luis Valdez
1113,Lukas Dhont
1114,Luke Greenfield
1115,Luke Scott
1116,Luke Snellin
1117,Lynn Shelton
1118,Madhur Bhandarkar
1119,Madonna
1120,Maggie Carey
1121,Mahesh Narayanan
1122,Maïwenn
1123,Malcolm D. Lee
1124,Mamoru Oshii
1125,Maneesh Sharma
1126,Mani Ratnam
1127,Måns Mårlind
1128,Marcel Langenegger
1129,Marc Evans
1130,Marc Forster
1131,Marc Lawrence
1132,Marco Kreuzpaintner
1133,Marcos Martínez
1134,Marc Schölermann
1135,Marc Silverstein
1136,Marcus Nispel
1137,Marc Webb
1138,Marielle Heller
1139,Mario Miscione
1140,Mario Van Peebles
1141,Mari Selvaraj
1142,Mark Andrews
1143,Mark A.Z. Dippé
1144,Mark Dindal
1145,Mark Duplass
1146,Mark Goldblatt
1147,Mark Linfield
1148,Mark L. Lester
1149,Mark Mylod
1150,Mark Neveldine
1151,Mark Osborne
1152,Mark Pellington
1153,Mark Robson
1154,Mark Romanek
1155,Mark Rosman
1156,Mark Sandrich
1157,Mark Steven Johnson
1158,Mark Tarlov
1159,Mark Tonderai
1160,Mark Waters
1161,Martha Coolidge
1162,Martin Brest
1163,Martin Campbell
1164,Martin McDonagh
1165,Martin Ritt
1166,Martin Scorsese
1167,Martin Weisz
1168,Martin Zandvliet
1169,Mary Harron
1170,Mary Lambert
1171,Masayuki Ochiai
1172,Mastan Alibhai Burmawalla
1173,Mathieu Kassovitz
1174,Matt Bettinelli-Olpin
1175,Matt Duffer
1176,Matteo Garrone
1177,Matthew Bright
1178,Matthew Butler-Hart
1179,Matthew Michael Carnahan
1180,Matthew O'Callaghan
1181,Matthew Robinson
1182,Matthew Vaughn
1183,Matthew Warchus
1184,Matthijs van Heijningen Jr.
1185,Matt Maiellaro
1186,Matt Palmer
1187,Matt Reeves
1188,Matt Williams
1189,Max Mayer
1190,McG
1191,Meghna Gulzar
1192,Meir Zarchi
1193,Mel Brooks
1194,Mel Gibson
1195,Melisa Wallack
1196,Mel Smith
1197,Mennan Yapo
1198,Merian C. Cooper
1199,Mert Baykal
1200,Mervyn LeRoy
1201,Mia Hansen-Løve
1202,Michael Almereyda
1203,Michael Anderson
1204,Michael Apted
1205,Michael Bay
1206,Michael Brandt
1207,Michael Caton-Jones
1208,Michael Chaves
1209,Michael Cimino
1210,Michael Crichton
1211,Michael Cristofer
1212,Michael Cuesta
1213,Michael Curtiz
1214,Michael Davis
1215,Michael Dougherty
1216,Michael Dowse
1217,Michael Engler
1218,Michael Gottlieb
1219,Michael Gracey
1220,Michael Grandage
1221,Michael Greenspan
1222,Michael Haneke
1223,Michael Herbig
1224,Michael Hoffman
1225,Michael Lehmann
1226,Michael Lembeck
1227,Michael Mann
1228,Michael Matteo Rossi
1229,Michael Mayer
1230,Michael McCullers
1231,Michael Moore
1232,Michael Noer
1233,Michael Patrick Jann
1234,Michael Patrick King
1235,Michael Pearce
1236,Michael Polish
1237,Michael Radford
1238,Michael Ritchie
1239,Michaël R. Roskam
1240,Michael Rymer
1241,Michael Sarnoski
1242,Michael Schwartz
1243,Michael Spierig
1244,Michael Sucsy
1245,Michael Thelin
1246,Michael Tiddes
1247,Michael Tollin
1248,Michael Wadleigh
1249,Michael Winner
1250,Michael Winterbottom
1251,Michelangelo Antonioni
1252,Michele Mulroney
1253,Michel Gondry
1254,Michel Hazanavicius
1255,Mick Garris
1256,Mick Jackson
1257,Miguel Ángel Vivas
1258,Miguel Arteta
1259,Miguel Sapochnik
1260,Mikael Håfström
1261,Mikael Salomon
1262,Mike Binder
1263,Mike Cahill
1264,Mike Flanagan
1265,Mike Hodges
1266,Mike Judge
1267,Mike Leigh
1268,Mike McCoy
1269,Mike Mills
1270,Mike Mitchell
1271,Mike Newell
1272,Mike Nichols
1273,Mike P. Nelson
1274,Milos Forman
1275,Mimi Leder
1276,Mira Nair
1277,M. Night Shyamalan
1278,Morgan Spurlock
